candidate_rank,drug,genes_targeted,n_hub_genes,avg_hub_score,top_hub_gene_rank,approved,interaction_types,sources,repurposing_score
402,MEDI-5117,IL6,1,0.5717,9,False,inhibitor,ChEMBL,2.401
403,MRA 003 US,IL6,1,0.5717,9,False,inhibitor,ChEMBL,2.401
404,OLOKIZUMAB,IL6,1,0.5717,9,False,inhibitor,TTD; ChEMBL; TdgClinicalTrial,2.401
405,SELECTIVE ESTROGEN RECEPTOR MODULATOR,IL6,1,0.5717,9,False,unknown,NCI,2.401
406,SIGNAL TRANSDUCTION INHIBITOR,IL6,1,0.5717,9,False,unknown,NCI,2.401
407,SIRUKUMAB,IL6,1,0.5717,9,False,inhibitor,TTD; ChEMBL,2.401
408,YSIL6,IL6,1,0.5717,9,False,unknown,TTD,2.401
409,ZILTIVEKIMAB,IL6,1,0.5717,9,False,binder; unknown,ChEMBL; TTD,2.401
410,"(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE",CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
411,ALVOCIDIB,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
412,BUPARLISIB,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
413,HMN-214,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
414,MILCICLIB,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
415,PF-00477736,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
416,PF-04691502,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
417,POLO-LIKE KINASE 1 INHIBITOR GSK461364,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
418,RONICICLIB,CDKN2A,1,0.5697,10,False,unknown,ClearityFoundationBiomarkers,2.3939
419,ULIXERTINIB,CDKN2A,1,0.5697,10,False,unknown,CKB-CORE,2.3939
420,BROMOCRIPTINE,LEP,1,0.4729,15,True,unknown,NCI,2.3053
421,CARVEDILOL,LEP,1,0.4729,15,True,unknown,NCI,2.3053
422,FELODIPINE,LEP,1,0.4729,15,True,unknown,NCI,2.3053
423,LAMIVUDINE,LEP,1,0.4729,15,True,unknown,NCI,2.3053
424,LOVASTATIN,LEP,1,0.4729,15,True,unknown,NCI,2.3053
425,METHADONE HYDROCHLORIDE,LEP,1,0.4729,15,True,unknown,NCI,2.3053
426,METRELEPTIN,LEP,1,0.4729,15,True,unknown,PharmGKB,2.3053
427,MIRTAZAPINE,LEP,1,0.4729,15,True,unknown,NCI,2.3053
428,NICOTINE POLACRILEX,LEP,1,0.4729,15,True,unknown,NCI,2.3053
429,SOYBEAN SEED OIL,LEP,1,0.4729,15,True,unknown,NCI,2.3053
430,VALPROIC ACID,LEP,1,0.4729,15,True,unknown,NCI,2.3053
431,AEW-541,INSR,1,0.5392,11,False,unknown,TTD,2.2871
432,AGT-182,INSR,1,0.5392,11,False,unknown,TTD,2.2871
433,BMS-754807,INSR,1,0.5392,11,False,inhibitor,ChEMBL,2.2871
434,CENISERTIB,INSR,1,0.5392,11,False,unknown,DTC,2.2871
435,CYC-116,INSR,1,0.5392,11,False,unknown,DTC,2.2871
436,DOVITINIB,INSR,1,0.5392,11,False,unknown,DTC,2.2871
437,GO-6976,INSR,1,0.5392,11,False,unknown,DTC,2.2871
438,GW441756X,INSR,1,0.5392,11,False,unknown,DTC,2.2871
439,HESPERADIN,INSR,1,0.5392,11,False,inhibitor,DTC,2.2871
440,"INSULIN HUMAN, ISOPHANE",INSR,1,0.5392,11,False,agonist,ChEMBL,2.2871
441,INSULIN SENSITIZER S-707106,INSR,1,0.5392,11,False,unknown,TTD,2.2871
442,INSULIN TREGOPIL,INSR,1,0.5392,11,False,agonist,ChEMBL,2.2871
443,"INSULIN, PORCINE",INSR,1,0.5392,11,False,unknown,TTD,2.2871
444,KW-2450,INSR,1,0.5392,11,False,inhibitor,ChEMBL,2.2871
445,LINIFANIB,INSR,1,0.5392,11,False,unknown,DTC,2.2871
446,LINSITINIB,INSR,1,0.5392,11,False,inhibitor,ChEMBL,2.2871
447,METFORMIN GLYCINATE,INSR,1,0.5392,11,False,unknown,TTD,2.2871
448,METHAZOLAMIDE,INSR,1,0.5392,11,False,unknown,TTD,2.2871
449,NVP-TAE684,INSR,1,0.5392,11,False,unknown,DTC,2.2871
450,PF-562271,INSR,1,0.5392,11,False,unknown,DTC,2.2871
451,RECOMBINANT HUMAN KALLIKREIN-1,INSR,1,0.5392,11,False,unknown,TTD,2.2871
452,RG-1530,INSR,1,0.5392,11,False,unknown,DTC,2.2871
453,SP-600125,INSR,1,0.5392,11,False,unknown,DTC,2.2871
454,TAMATINIB,INSR,1,0.5392,11,False,unknown,DTC,2.2871
455,TESOFENSINE,INSR,1,0.5392,11,False,unknown,TTD,2.2871
456,TOZASERTIB,INSR,1,0.5392,11,False,unknown,DTC,2.2871
457,2-METHOXYESTRADIOL,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
458,6-AZAURIDINE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
459,A947,GLP1R,1,0.5208,12,False,unknown,GuideToPharmacology,2.2228
460,AMCINAFIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
461,ANGUSTIBALIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
462,ASTERRIC ACID,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
463,AURIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
464,AVEXITIDE,GLP1R,1,0.5208,12,False,inhibitor,ChEMBL,2.2228
465,BENZPIPERYLON,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
466,CETYLPYRIDINIUM BROMIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
467,CGP13501,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
468,CGP7930,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
469,CHEMBL:CHEMBL1170485,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
470,CHEMBL:CHEMBL1224483,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
471,CHEMBL:CHEMBL1270168,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
472,CHEMBL:CHEMBL127579,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
473,CHEMBL:CHEMBL1308346,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
474,CHEMBL:CHEMBL1327172,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
475,CHEMBL:CHEMBL1337519,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
476,CHEMBL:CHEMBL1390716,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
477,CHEMBL:CHEMBL1420370,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
478,CHEMBL:CHEMBL1422704,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
479,CHEMBL:CHEMBL1437888,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
480,CHEMBL:CHEMBL1439833,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
481,CHEMBL:CHEMBL1466186,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
482,CHEMBL:CHEMBL1472891,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
483,CHEMBL:CHEMBL1509103,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
484,CHEMBL:CHEMBL1520282,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
485,CHEMBL:CHEMBL1543865,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
486,CHEMBL:CHEMBL1549738,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
487,CHEMBL:CHEMBL1569494,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
488,CHEMBL:CHEMBL259615,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
489,CHEMBL:CHEMBL259805,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
490,CHEMBL:CHEMBL260451,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
491,CHEMBL:CHEMBL261693,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
492,CHEMBL:CHEMBL317115,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
493,CHEMBL:CHEMBL405914,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
494,CHEMBL:CHEMBL482050,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
495,CHEMBL:CHEMBL493863,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
496,CHEMBL:CHEMBL524376,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
497,CHEMBL:CHEMBL528181,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
498,CHEMBL:CHEMBL528791,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
499,CHEMBL:CHEMBL530609,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
500,CHEMBL:CHEMBL532412,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
501,CHEMBL:CHEMBL532452,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
502,CHEMBL:CHEMBL533082,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
503,CHEMBL:CHEMBL533602,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
504,CHEMBL:CHEMBL548286,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
505,CHEMBL:CHEMBL576809,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
506,CHEMBL:CHEMBL578515,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
507,CHEMBL:CHEMBL578928,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
508,CHEMBL:CHEMBL579318,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
509,CHEMBL:CHEMBL579956,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
510,CHEMBL:CHEMBL580076,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
511,CHEMBL:CHEMBL580207,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
512,CHEMBL:CHEMBL580340,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
513,CHEMBL:CHEMBL580727,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
514,CHEMBL:CHEMBL581152,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
515,CHEMBL:CHEMBL581865,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
516,CHEMBL:CHEMBL581872,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
517,CHEMBL:CHEMBL582286,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
518,CHEMBL:CHEMBL584269,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
519,CHEMBL:CHEMBL584458,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
520,CHEMBL:CHEMBL585443,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
521,CHEMBL:CHEMBL585444,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
522,CHEMBL:CHEMBL586078,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
523,CHEMBL:CHEMBL586163,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
524,CHEMBL:CHEMBL587564,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
525,CHEMBL:CHEMBL588028,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
526,CHEMBL:CHEMBL588038,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
527,CHEMBL:CHEMBL588683,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
528,CHEMBL:CHEMBL589245,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
529,CHEMBL:CHEMBL589670,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
530,CHEMBL:CHEMBL589909,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
531,CHEMBL:CHEMBL590427,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
532,CHEMBL:CHEMBL590686,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
533,CHEMBL:CHEMBL590919,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
534,CHEMBL:CHEMBL591126,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
535,CHEMBL:CHEMBL591598,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
536,CHEMBL:CHEMBL591834,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
537,CHEMBL:CHEMBL592118,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
538,CHEMBL:CHEMBL597244,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
539,CHEMBL:CHEMBL597251,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
540,CHEMBL:CHEMBL599100,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
541,CHEMBL:CHEMBL600734,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
542,CHEMBL:CHEMBL601351,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
543,CHEMBL:CHEMBL601400,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
544,CHEMBL:CHEMBL602012,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
545,CHEMBL:CHEMBL602923,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
546,CHEMBL:CHEMBL603130,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
547,CHEMBL:CHEMBL603154,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
548,CHEMBL:CHEMBL604321,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
549,CHEMBL:CHEMBL604664,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
550,CHEMBL:CHEMBL605708,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
551,CHEMBL:CHEMBL606460,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
552,CHEMBL:CHEMBL607309,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
553,CHEMBL:CHEMBL86464,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
554,CLANFENUR,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
555,CLOXYQUIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
556,COLFORSIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
557,CORONOPILIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
558,COTADUTIDE,GLP1R,1,0.5208,12,False,agonist,ChEMBL,2.2228
559,CYCLOASPEPTIDE A,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
560,CYCLOHEXIMIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
561,DANUGLIPRON,GLP1R,1,0.5208,12,False,agonist,ChEMBL,2.2228
562,DIGITOXIGENIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
563,DIHYDROXANTHOHUMOL,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
564,EFINOPEGDUTIDE,GLP1R,1,0.5208,12,False,agonist,ChEMBL,2.2228
565,EFPEGLENATIDE,GLP1R,1,0.5208,12,False,agonist,TTD; ChEMBL,2.2228
566,ENCLOMIPHENE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
567,FENTICLOR,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
568,FIDUXOSIN HYDROCHLORIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
569,FRONIGLUTIDE,GLP1R,1,0.5208,12,False,unknown,TdgClinicalTrial; TTD,2.2228
570,GERONTOXANTHONE H,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
571,GLP-1,GLP1R,1,0.5208,12,False,unknown,TTD,2.2228
572,GNE-064,GLP1R,1,0.5208,12,False,inhibitor,GuideToPharmacology,2.2228
573,HELENALIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
574,LASALOCID A SODIUM,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
575,MAGNOLOL,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
576,METAPHIT METHANESULFONATE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
577,MITONAFIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
578,MOFEBUTAZONE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
579,OXYCARBOXIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
580,PEGAPAMODUTIDE,GLP1R,1,0.5208,12,False,agonist; unknown,ChEMBL; TTD,2.2228
581,PEGSEBRENATIDE,GLP1R,1,0.5208,12,False,agonist,ChEMBL,2.2228
582,PFI-3,GLP1R,1,0.5208,12,False,inhibitor,GuideToPharmacology,2.2228
583,PINAFIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
584,PROPIONYLPROMAZINE HYDROCHLORIDE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
585,PYRONIN Y,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
586,PYROXAMINE MALEATE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
587,SAR425899,GLP1R,1,0.5208,12,False,unknown,TTD,2.2228
588,SCOULERINE,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
589,SMD-3040,GLP1R,1,0.5208,12,False,unknown,GuideToPharmacology,2.2228
590,STROPHANTHIDIN,GLP1R,1,0.5208,12,False,unknown,DTC,2.2228
591,TASPOGLUTIDE,GLP1R,1,0.5208,12,False,agonist,TTD; TdgClinicalTrial; ChEMBL,2.2228
592,TH0318,GLP1R,1,0.5208,12,False,unknown,TdgClinicalTrial,2.2228
593,ENOTICUMAB,NOTCH2,1,0.515,13,False,other/unknown,MyCancerGenome,2.2026
594,MK-0752,NOTCH2,1,0.515,13,False,unknown,CGI,2.2026
595,NOTCH SIGNALING PATHWAY INHIBITOR MK0752,NOTCH2,1,0.515,13,False,other/unknown,MyCancerGenome,2.2026
596,RO4929097,NOTCH2,1,0.515,13,False,other/unknown,MyCancerGenome,2.2026
597,TAREXTUMAB,NOTCH2,1,0.515,13,False,inhibitor,CGI; TdgClinicalTrial; TTD; ChEMBL,2.2026
598,BERBERINE CHLORIDE,KCNJ11,1,0.5064,14,False,unknown,DTC,2.1725
599,BERBERRUBINE,KCNJ11,1,0.5064,14,False,unknown,DTC,2.1725
600,GLIQUIDONE,KCNJ11,1,0.5064,14,False,unknown,DTC,2.1725
601,MITIGLINIDE CALCIUM DIHYDRATE,KCNJ11,1,0.5064,14,False,blocker,ChEMBL,2.1725
602,NAMINIDIL,KCNJ11,1,0.5064,14,False,potentiator,ChEMBL,2.1725
603,SARAKALIM,KCNJ11,1,0.5064,14,False,potentiator,ChEMBL,2.1725
604,ANTICOAGULANT AGENT,LEP,1,0.4729,15,False,unknown,NCI,2.0553
605,CALCIUM CHANNEL BLOCKER,LEP,1,0.4729,15,False,unknown,NCI,2.0553
606,ORAL CONTRACEPTIVE,LEP,1,0.4729,15,False,unknown,NCI,2.0553
